Accession	GeneName	Description	NC_1	NC_2	NC_3	NC_4	NC_5	HC_1	HC_2	HC_3	HC_4	HC_5	HD_1	HD_2	HD_3	HD_4	HD_5
A1L314	Mpeg1	Macrophage-expressed gene 1 protein	998.2994385	688.3527832	1480.674805	480.8174438	962.0109253	7837.035645	3539.720947	6275.894531	5238.243164	3966.15332	3006.068604	1963.140381	1730.841675	1741.245605	1066.664551
A1L3P4	Slc9a6	Sodium/hydrogen exchanger 6	7982.015137	8595.236328	6245.369629	6533.099121	6545.427734	6537.373047	10529.20801	9145.736328	5966.719238	9123.713867	10150.46387	10140.64063	17799.81836	8401.759766	9760.367188
A2A432	Cul4b	Cullin-4B	1026.140869	1262.011719	1091.086182	1480.276001	1453.128418	1629.160645	1279.683838	1514.141968	1340.314697	1563.357788	1133.35083	1311.684204	1420.012207	1262.512817	1590.962524
A2A4P0	Dhx8	ATP-dependent RNA helicase DHX8	114.267868	139.2792053	116.3901825	111.9743958	73.89387512	237.3661041	174.7211609	154.9240265	119.6405334	178.7453003	58.72264481	117.7185364	54.64601135	76.62467194	118.9688263
A2A5R2	Arfgef2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	631.3343506	917.6790161	913.2143555	1003.59491	830.2540283	1619.799316	1361.453247	1839.55603	1691.046509	1481.020264	947.6551514	1113.903564	1071.304688	958.2403564	1191.096558
A2A5Z6	Smurf2	E3 ubiquitin-protein ligase SMURF2	625.2817383	646.2657471	693.746521	488.1374512	962.3167114	537.93573	492.487854	660.0148315	680.1905518	364.3147888	561.7521362	641.6914673	438.7230225	565.3549194	618.354187
A2A690	Tanc2	Protein TANC2	NaN	NaN	110.3434906	101.6906662	NaN	108.3542404	100.0328064	56.61661148	73.57408142	48.74011993	89.34864807	76.13780212	NaN	NaN	NaN
A2A699	Fam171a2	Protein FAM171A2	141.4996796	144.2869873	198.9096527	76.80115509	NaN	86.24705505	176.0190277	337.0500793	220.0530548	65.75033569	121.7294617	260.8434143	267.2288513	152.7141876	123.1611328
A2A6A1	Gpatch8	G patch domain-containing protein 8	324.5904236	130.7436676	365.679718	254.7177887	183.319397	170.1364746	196.2754669	233.2360229	373.1764526	320.5848083	258.6037598	271.5385132	332.2796326	184.1477509	226.8080597
A2A6H3	Fbxo47	F-box only protein 47	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2A6Q5	Cdc27	Cell division cycle protein 27 homolog	527.2758179	224.8855438	246.9970245	156.1492767	NaN	367.1424561	442.6253967	506.5429993	450.7797241	506.8266296	587.3482666	415.4619141	332.3450623	372.1735229	313.2336426
A2A6T1	Cdr2l	Cerebellar degeneration-related protein 2-like	618.1325684	782.5457764	506.5791016	390.0515442	618.9216919	1085.798828	649.4432983	814.3651733	770.7098999	535.4365845	574.6151733	682.2197876	569.5742798	577.1165161	517.9995728
A2A761;B2KFW1;E9PW05;E9PYI1;E9QAG8;P08043;P10078;P10755;P15620;P16372;P17141;Q07230;Q0VAW7;Q3TDE8;Q571J5;Q61116;Q6A085;Q6GQR8;Q6P5C7;Q7TSH9;Q80W31;Q810A1;Q8BFS8;Q8BI99;Q8BLM0;Q8C827;Q8K083;Q8R0T2;Q9EQB9;Q9ERR8;Q9ERU3	Zfp69;Zscan20;Zfp54;Znf568;Znf431;Zfp2;Zfp28;Zfp14;Znf271;Zfp58;Zfp37;Zscan2;Znf112;Znf691;Znf354c;Znf235;Znf629;Znf329;Znf728;Zfp184;Znf569;Znf18;ZNF418;Znf879;Klf8;Zfp62;Znf536;Znf768;Znf287;Znf319;Znf22	Zinc finger protein 69;Zinc finger and SCAN domain-containing protein 20;Zinc finger protein 54;Zinc finger protein 568;Zinc finger protein 431;Zinc finger protein ZFP2;Zinc finger protein 28;Zinc finger protein 14;Zinc finger protein 271;Zinc finger protein 58;Zinc finger protein 37;Zinc finger and SCAN domain-containing protein 2;Zinc finger protein 112;Zinc finger protein 691;Zinc finger protein 354C;Zinc finger protein 235;Zinc finger protein 629;Zinc finger protein 329;Zinc finger protein 728;Zinc finger protein 184;Zinc finger protein 569;Zinc finger protein 18;Zinc finger protein 418;Zinc finger protein 879;Krueppel-like factor 8;Zinc finger protein 62;Zinc finger protein 536;Zinc finger protein 768;Zinc finger protein 287;Zinc finger protein 319;Zinc finger protein 22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2A7S8	Nhsl3	NHS-like protein 3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2A863	Itgb4	Integrin beta-4	332.4022217	461.1956787	392.4760132	202.1931152	329.8716431	274.9365234	543.6682739	361.9907532	354.9028625	369.4813232	244.0562134	331.2827454	134.7401733	268.157074	272.7184143
A2A8L1	Chd5	Chromodomain-helicase-DNA-binding protein 5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2A8L5	Ptprf	Receptor-type tyrosine-protein phosphatase F	978.3859253	1116.901611	861.4671021	614.5996704	705.9737549	387.2705688	701.6588745	599.678894	343.6550598	565.0252686	848.6735229	673.6990967	426.4181519	580.6348877	710.6165771
A2A8U2	Tmem201	Transmembrane protein 201	421.863678	560.8358154	601.69104	385.6295471	517.1826172	265.1737366	236.6301117	327.9164429	357.4786987	211.551178	132.1731262	223.3995819	312.822052	178.4627533	259.9706421
A2A8Z1	Osbpl9	Oxysterol-binding protein-related protein 9	2289.591797	2633.289063	3215.500244	2954.136719	2943.191895	2415.944824	2681.781982	3023.069336	2598.074463	2564.285889	2759.552246	2658.393066	3299.779785	2716.244141	2873.702393
A2A974;Q91WL5	Cyp4a12b;Cyp4a12a	Cytochrome P450 4A12B;Cytochrome P450 4A12A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2A9C3	Szt2	KICSTOR complex protein SZT2	2314.399902	2266.446777	3033.425293	3101.848145	1976.413086	2846.968994	3160.702393	2802.385498	2385.936279	2786.623047	2060.65332	2225.468506	2647.16626	2541.247803	3588.60498
A2AAE1	Bltp1	Bridge-like lipid transfer protein family member 1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2AAJ9	Obscn	Obscurin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2AAY5	Sh3pxd2b	SH3 and PX domain-containing protein 2B	1100.561157	1179.094482	1193.773193	859.0559692	885.7664185	4324.432617	2395.24707	3457.638672	3012.78125	2744.888672	2053.999512	2096.343262	1823.501343	1726.023682	1499.116699
A2AB59	Arhgap27	Rho GTPase-activating protein 27	340.8568726	457.9784546	1047.337402	893.9751587	471.892395	545.0223389	583.4848633	239.6525879	479.2154236	634.699646	510.0427551	465.7417297	NaN	556.2057495	577.0653687
A2ABU4	Myom3	Myomesin-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2ABV5	Med14	Mediator of RNA polymerase II transcription subunit 14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2ADA5	Pusl1	tRNA pseudouridine synthase-like 1	238.34935	310.3544006	128.0288696	263.7608032	310.0212097	311.5993042	329.6262207	388.073761	297.900238	220.7922058	276.9358215	422.2286987	207.7578583	322.3764038	298.9232788
A2ADY9	Ddi2	Protein DDI1 homolog 2	2516.390869	1911.84436	2499.695068	1860.55835	1719.555786	4563.90332	2716.392822	3019.980469	2589.451904	3232.487305	3071.091797	2618.814941	2957.280273	2703.89624	3569.428711
A2AE20	Spaca5	Sperm acrosome-associated protein 5	NaN	1307.485107	NaN	NaN	247.1546478	NaN	NaN	NaN	NaN	45.04249191	NaN	NaN	NaN	NaN	89.20052338
A2AEP0	Obp1b	Odorant-binding protein 1b	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2AF47	Dock11	Dedicator of cytokinesis protein 11	1399.365845	1675.293701	1625.328979	1788.776367	1878.565674	1765.234253	1487.585693	1578.628784	1691.784302	1504.466431	1362.594727	1742.526978	1650.541382	2017.573242	2315.543701
A2AFR3	Frmpd4	FERM and PDZ domain-containing protein 4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2AFS3	Elapor1	Endosome/lysosome-associated apoptosis and autophagy regulator 1	1488.191284	770.9519653	558.581604	1817.343262	1326.591064	444.112793	NaN	583.7768555	1377.417603	984.4925537	1147.61377	1090.976196	1394.747925	1370.374023	1053.942749
A2AGL3	Ryr3	Ryanodine receptor 3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2AGT5	Ckap5	Cytoskeleton-associated protein 5	1444.099731	1913.338989	1460.609619	1330.607666	1215.400391	3386.013428	2101.952393	2742.459961	2370.172363	2439.745361	1906.537109	2034.150513	2106.292725	2104.195801	2078.860596
A2AHC3	Camsap1	Calmodulin-regulated spectrin-associated protein 1	59.97891998	89.62789154	NaN	28.93995476	NaN	182.768692	NaN	NaN	NaN	172.9112701	53.02565002	NaN	NaN	92.21321106	140.7982483
A2AI05	Ndor1	NADPH-dependent diflavin oxidoreductase 1	220.0743561	NaN	184.0390472	192.5123596	379.2615662	301.5022888	101.2902298	188.7163696	196.576767	178.6416779	214.4754486	225.4910583	216.8710022	77.38368988	217.3872223
A2AIG8	Accs	1-aminocyclopropane-1-carboxylate synthase-like protein 1	562.0480957	592.5668335	734.9066772	746.7229004	906.3696899	293.1514282	245.887085	266.7772522	367.6312866	354.4380493	395.2386475	379.3348083	170.8251801	440.9038086	438.382782
A2AIL4	Ndufaf6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	1253.706421	794.7084351	831.0409546	1151.852661	2317.741455	933.4020386	610.2314453	1173.7854	549.8515015	679.9833374	NaN	1105.94751	NaN	1464.868774	1700.712036
A2AIV2	Virma	Protein virilizer homolog	150.9104004	260.1780396	164.1544647	166.0948486	154.9775696	256.4845886	213.7553864	194.3275299	259.4631042	225.9627838	163.2384949	124.2745895	211.8831177	158.7891998	92.59286499
A2AIV8	Card9	Caspase recruitment domain-containing protein 9	140.3620148	152.5177155	NaN	NaN	104.3841782	598.680542	146.0171204	541.366394	312.0293579	167.2524414	196.9998016	162.4020538	NaN	118.6835098	104.5214844
A2AJ15	Man1b1	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	1736.919189	2442.455078	2495.877441	1766.071655	1127.149292	7519.284668	3655.348389	6102.171387	4030.209961	3666.306641	2352.304688	3095.169678	3694.145508	2985.588135	2925.526855
A2AJ76	Hmcn2	Hemicentin-2	1391.244751	1690.730713	707.4749756	816.5770264	556.2172852	953.6342773	3997.35498	2416.539551	2180.727295	2667.854248	2845.519775	4010.657227	1294.461914	1207.33667	1487.488525
A2AJ88	Pnpla7	Patatin-like phospholipase domain-containing protein 7	194.9033508	320.5769043	268.6512451	322.4130249	340.3609924	416.1168213	249.5709839	407.5810242	341.6923218	311.1484375	258.2633057	198.8332062	330.8430786	213.4638977	286.8347473
A2AJB1	Ccdc183	Coiled-coil domain-containing protein 183	698.0286865	450.8999023	503.7495422	560.7728882	543.3046265	290.900116	327.3344116	361.5134277	522.5721436	304.0448608	446.9360962	359.4340515	459.0322571	409.5527954	397.4612122
A2AJB7	Lcn5	Epididymal-specific lipocalin-5	2077.548828	327335.4063	7041.272949	8417.391602	14065.42676	4005.77417	5553.200195	11995.94043	3240.99707	2064.418701	3818.199463	2961.309814	2144.618164	1431.577393	24568.93945
A2AJI0	Map7d1	MAP7 domain-containing protein 1	820.1629639	1082.726074	1183.121338	620.2297974	629.4899902	1454.102539	1421.906128	1646.114868	1010.914307	1691.00647	1609.250488	1530.749634	1156.891602	1385.540894	1226.680908
A2AJK6	Chd7	Chromodomain-helicase-DNA-binding protein 7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2AJL3	Fggy	FGGY carbohydrate kinase domain-containing protein	2097.974365	2301.13623	2351.929688	2031.893677	1920.907104	1096.595215	1182.863647	1152.602539	1880.854736	1551.171631	2021.853516	1453.946655	1742.292725	1840.109375	3381.041748
A2AJQ3	Dpy19l4	Probable C-mannosyltransferase DPY19L4	NaN	226.040741	NaN	48.8429718	NaN	428.2718201	NaN	NaN	NaN	NaN	118.7214661	NaN	NaN	NaN	84.60388184
A2AJT4	Pnisr	Arginine/serine-rich protein PNISR	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2AKB4	Frmpd1	FERM and PDZ domain-containing protein 1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2AKG8	Focad	Focadhesin	561.2911377	735.8079834	633.9848022	644.3307495	551.3768311	793.1873169	677.6352539	723.0026245	720.2261963	924.2341309	705.730957	697.3791504	615.0570679	693.9730225	756.505188
A2AKQ0	Slc35d1	Nucleotide sugar transporter SLC35D1	NaN	NaN	194.11586	NaN	132.4154358	NaN	NaN	NaN	216.8821106	NaN	NaN	NaN	NaN	NaN	NaN
A2AKQ8;Q99J38;Q9CY00	Ift70a2;Ift70a1;Ift70b	Intraflagellar transport protein 70A2;Intraflagellar transport protein 70A1;Intraflagellar transport protein 70B	NaN	NaN	NaN	NaN	117.4192047	NaN	137.2651367	NaN	NaN	NaN	140.810318	NaN	NaN	NaN	NaN
A2AKY4	Znf804a	Zinc finger protein 804A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2AL36	Cntrl	Centriolin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2ALU4	Shroom2	Protein Shroom2	2168.44458	3203.443604	4380.449219	1187.664429	1960.88916	2633.964355	3793.57666	2660.942139	1940.802368	3654.075684	3377.037354	5429.722168	3199.3479	2166.855469	1487.661743
A2ALW5	Dnajc25	DnaJ homolog subfamily C member 25	986.5448608	1074.831543	955.6790161	826.5609131	792.5899048	1132.383423	1108.791504	1128.206543	832.3599243	900.5067749	842.2910767	1071.762817	830.8262329	741.2480469	1054.654419
A2AM05	Cntln	Centlein	NaN	106.9964981	180.2536774	NaN	109.4118652	92.5947113	164.3834381	170.3315277	139.9924469	41.5586319	308.0380859	151.3791962	144.092514	NaN	NaN
A2AN08	Ubr4	E3 ubiquitin-protein ligase UBR4	3101.161865	4247.557617	4031.623047	4834.886719	4153.347656	6980.304199	4480.122559	5803.054199	5684.190918	4969.666992	3782.975586	3898.417969	4032.538086	4249.688965	4371.470703
A2AP18	Plch2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2APT9	Klhdc7a	Kelch domain-containing protein 7A	4201.616211	4648.106445	3599.044678	4750.609375	4221.119629	2697.398193	3151.200684	3018.571045	3698.096924	4295.339355	4584.102539	3928.187988	5133.359863	5439.822754	5528.623535
A2APV2	Fmnl2	Formin-like protein 2	1163.432007	919.8999634	1162.990723	1039.434448	1154.561523	982.6670532	1081.624756	1133.356689	1062.743042	1074.919678	786.5148926	959.611084	792.9229126	1115.672729	988.6845093
A2APY7	Ndufaf5	Arginine-hydroxylase NDUFAF5, mitochondrial	873.3287964	558.1032104	671.6361084	768.477356	760.2399292	596.9544678	602.5084839	592.631958	610.5873413	494.5171509	515.6887207	706.8917236	557.0107422	665.9044189	562.0002441
A2AQ07	Tubb1	Tubulin beta-1 chain	211.5212097	271.8599243	179.2810669	462.4693298	NaN	160.0499573	361.3776245	188.266922	371.7420044	463.4613647	510.416748	291.861969	203.0595093	141.6504517	187.0864563
A2AQ19	Rtf1	RNA polymerase-associated protein RTF1 homolog	435.1967163	353.9656372	213.1387329	315.3721313	200.6349182	464.1383057	469.9518127	474.5282288	262.4239807	386.4144287	311.7763672	397.8774109	281.9759216	452.2397461	284.8674316
A2AQ25	Skt	Sickle tail protein	3737.873779	8213.948242	7160.567871	9170.708984	4058.53418	9781.963867	11878.61719	9557.323242	9723.724609	10210.63574	8205.368164	7545.325195	15449.04395	14471.38965	11700.28711
A2AQP0	Myh7b	Myosin-7B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2AR02	Ppig	Peptidyl-prolyl cis-trans isomerase G	507.4616089	331.34729	648.1199341	608.5302124	462.2486267	817.6373901	431.8401184	416.6801453	666.9698486	494.7608032	355.8328247	342.4334412	609.3028564	414.3450623	242.7519684
A2ARI4	Lgr4	Leucine-rich repeat-containing G-protein coupled receptor 4	371.6192627	342.6574402	278.4440002	237.1316376	212.7590179	156.2036438	255.5698853	257.2194519	248.6306763	216.1508179	239.2057495	346.3050537	187.3757935	189.7183533	268.8978271
A2ARP1	Ppip5k1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1	902.7836304	1025.030273	913.5950928	1212.697632	1110.792358	534.2755737	850.4741211	745.0715332	750.6769409	928.190979	800.1678467	851.5778198	1596.845703	1164.635498	944.5620117
A2ARV4	Lrp2	Low-density lipoprotein receptor-related protein 2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2ARZ3	Fsip2	Fibrous sheath-interacting protein 2	NaN	115.1158829	NaN	NaN	NaN	NaN	NaN	NaN	NaN	211.753418	NaN	NaN	NaN	NaN	NaN
A2AS55	Ankrd16	Ankyrin repeat domain-containing protein 16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2AS89	Agmat	Guanidino acid hydrolase, mitochondrial	568.1305542	846.8027344	902.3788452	337.7625122	NaN	1014.233948	262.0270386	169.0273895	228.450592	311.2211914	290.6389465	597.699646	NaN	147.9261017	2931.887695
A2ASA8	Itpripl1	Inositol 1,4,5-trisphosphate receptor-interacting protein-like 1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2ASQ1	Agrn	Agrin	2417.108643	2996.465332	2856.773193	1887.789307	1968.569092	1530.331909	2887.775635	1758.040649	1939.990601	2517.408691	3042.023438	1946.407959	1862.241211	1806.331787	1746.862183
A2ASS6	Ttn	Titin	191.7821198	382.2398071	169.5373535	NaN	356.66745	229.5641785	344.9302368	394.9436646	119.0346832	221.990799	306.1882629	389.1601563	NaN	238.3412933	294.5026855
A2ASZ8	Slc25a25	Mitochondrial adenyl nucleotide antiporter SLC25A25	217.1423798	240.9194336	194.7519073	268.1303711	230.0667877	111.2086639	122.9391174	208.3605347	288.0678711	58.43545151	240.4231415	NaN	275.1036987	251.6912079	233.4801025
A2AT37	Upf2	Regulator of nonsense transcripts 2	250.6373596	257.6489258	357.7301331	323.5719299	206.4336548	433.5735474	368.6452637	478.5557251	345.6521301	375.7603149	382.8103638	366.0975037	452.4872437	441.8086548	423.7822571
A2ATU0	Dhtkd1	2-oxoadipate dehydrogenase complex component E1	707.4376221	1002.688293	1477.824585	1335.618652	1139.473633	99.01914978	276.841217	166.1584778	262.2162781	211.813324	222.1264801	380.3851624	115.7349167	251.1885986	500.7608643
A2AVA0	Svep1	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	1817.819946	1406.900024	1346.429688	1102.451782	1486.546631	1608.529785	1902.931763	1538.87793	1573.539185	1908.681641	2874.32373	3057.305176	2532.993408	1615.303467	1376.312866
A2AVJ5	Prr5l	Proline-rich protein 5-like	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2AVZ9	Slc43a3	Equilibrative nucleobase transporter 1	2608.329102	3331.253662	2928.514893	2335.990479	2280.747803	1374.025635	1830.74353	2477.594482	2316.043457	1446.824097	2302.989502	1863.355103	915.1757813	2640.637207	1638.378418
A2AWA9	Rabgap1	Rab GTPase-activating protein 1	1297.540771	1580.765991	1743.979492	1703.494995	1497.885742	1663.797241	1658.755981	1736.522095	1880.367676	1629.266479	1488.345581	1531.633911	1498.071655	1550.097412	1508.718262
A2AWL7	Mga	MAX gene-associated protein	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2AWP8	Arhgef10l	Rho guanine nucleotide exchange factor 10-like protein	4089.730469	3490.199463	3425.27417	3135.259521	3317.045166	7879.423828	3894.435303	7626.20752	6129.414551	4033.466309	4211.145996	4230.495117	2205.71875	4664.555664	3406.281494
A2AWR3	Gpr155	Lysosomal cholesterol signaling protein	319.4010925	399.2777405	102.7981796	NaN	NaN	235.6817169	204.0108795	524.0125122	NaN	507.4954529	423.3410339	493.0029907	NaN	512.3711548	135.5361938
A2AX52	Col6a4	Collagen alpha-4(VI) chain	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2BDX3	Mocs3	Adenylyltransferase and sulfurtransferase MOCS3	4496.289551	5099.041992	5706.675293	5798.269531	5035.741211	3817.223877	4597.495117	4205.214844	4290.69873	3834.198242	3234.791748	3892.99585	4746.23291	4482.461426	4798.403809
A2BE28	Las1l	Ribosomal biogenesis protein LAS1L	307.2948914	385.5140991	296.0890808	366.5523682	289.3432922	806.1321411	443.2561035	591.0791626	408.0954285	455.761261	276.4497375	363.5848694	281.9117126	247.0339661	339.6128235
A2BH40	Arid1a	AT-rich interactive domain-containing protein 1A	3760.310303	3808.380127	4210.268555	3506.684326	3804.038818	6994.535645	5010.229492	6306.940918	5381.935059	3800.381104	3468.477051	4007.049072	3690.91748	3821.730957	4116.059082
A2BIM8;P02762;P04938	Mup18;Mup6;Mup11	Major urinary protein 18;Major urinary protein 6;Major urinary protein 11	115848.4063	115697.7344	77512.21875	54818.5625	81002.89844	14511.76855	54091.14844	11796.76855	15205.5498	29214.14063	66411.47656	26641.66211	9348.358398	19223.80664	83328.88281
A2CG49	Kalrn	Kalirin	108.3160553	153.8532257	216.6125641	94.55748749	320.1916809	563.8372803	265.8582153	231.6894989	491.0365295	281.5085754	115.4852448	266.2558289	487.9416504	132.9076843	NaN
A2RSJ4	Bltp3b	Bridge-like lipid transfer protein family member 3B	749.6405029	415.1722107	553.0273438	582.210022	607.3043213	1204.314941	777.4703369	1069.720947	706.746521	649.1026001	526.9517822	625.6727295	597.5825195	524.9475708	564.1216431
A2RSQ0	Dennd5b	DENN domain-containing protein 5B	79.93571472	111.9086304	59.74409485	NaN	109.9764938	35.64011383	66.39151764	19.70623589	116.7239304	43.43479538	70.19290924	NaN	108.8105011	83.89250946	105.4375992
A2RSX7	Tyw5	tRNA wybutosine-synthesizing protein 5	1237.183838	924.9883423	1145.225708	1240.668213	1288.875122	746.4135132	833.1657104	617.5549316	937.0357666	736.8554077	1009.42218	709.9312744	1015.781677	1243.936523	802.3858032
A2RSY6	Trmt1l	TRMT1-like protein	113.8003922	NaN	NaN	62.06444168	NaN	NaN	NaN	57.31502914	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2RTL5	Rsrc2	Arginine/serine-rich coiled-coil protein 2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2TJV2	Palm3	Paralemmin-3	149.839859	344.7957153	237.5133057	206.0874786	248.5652618	284.1880798	354.1954956	308.260376	157.5384827	206.4560699	NaN	364.9815063	NaN	122.2635269	NaN
A3KFX0	Nt5c1a	Cytosolic 5'-nucleotidase 1A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A3KG59	Pm20d2	Xaa-Arg dipeptidase	291.5344238	168.5805664	212.1024933	378.2713013	317.2338562	NaN	161.419754	NaN	NaN	NaN	NaN	NaN	287.1757813	136.5375366	157.9875031
A3KGB4	Tbc1d8b	TBC1 domain family member 8B	615.7068481	877.2868042	921.4520874	860.4957886	702.6687012	847.0894775	1146.701416	1002.395874	956.1564331	1052.115112	1023.649414	773.3706055	1187.057861	624.1169434	777.6256104
